Initialization,Ops,E,gnorm,E0,Exact
38,1,-2.099695788270315,2.220446049250313e-16,-2.096394540861845,-2.8009588996544403
39,1,-2.0996957882703153,6.861178292183467e-14,-1.8788433033489964,-2.8009588996544403
40,1,-2.099695788270315,2.756425088179526e-09,-2.0457398540797125,-2.8009588996544403
41,1,-2.0996957882703153,1.0213796475255776e-09,-1.8983261434776906,-2.8009588996544403
42,1,-2.0996957882703153,1.7763568394002505e-15,-2.080916838532236,-2.8009588996544403
43,1,-2.099695788270315,2.220446049250313e-16,-1.8660823890968696,-2.8009588996544403
44,1,-2.0996957882703153,2.220446049250313e-16,-2.0921608351326553,-2.8009588996544403
45,1,-2.099695788270315,2.220446049250313e-16,-2.0129857422451307,-2.8009588996544403
46,1,-2.0996957882703153,2.458328429710832e-09,-2.0393753510902335,-2.8009588996544403
47,1,-2.0996957882703144,2.220446049250313e-16,-1.732571564092945,-2.8009588996544403
48,1,-2.0996957882703144,9.325873406851315e-15,-2.035321709269474,-2.8009588996544403
49,1,-2.0996957882703144,2.220446049250313e-16,-1.7839556553912512,-2.8009588996544403
50,1,-2.0996957882703153,4.440892098500626e-16,-1.7537174884695452,-2.8009588996544403
51,1,-2.0996957882703153,3.6805447578558415e-11,-1.9514528022073439,-2.8009588996544403
52,1,-2.0996957882703153,3.3306690738754696e-15,-2.076026868582925,-2.8009588996544403
53,1,-2.0996957882703144,1.3100631690576847e-14,-1.898570131149509,-2.8009588996544403
54,1,-2.099695788270315,2.220446049250313e-16,-1.9719220550150012,-2.8009588996544403
55,1,-2.0996957882703153,8.539835505416704e-13,-1.98189479649343,-2.8009588996544403
56,1,-2.0996957882703153,1.6289192217300297e-11,-2.097126696086303,-2.8009588996544403
57,1,-2.0996957882703153,1.9984014443252818e-14,-1.9985814227817227,-2.8009588996544403
58,1,-2.0996957882703153,3.8058445284150366e-13,-1.981636212909632,-2.8009588996544403
59,1,-2.0996957882703153,4.440892098500626e-16,-2.089296949585272,-2.8009588996544403
60,1,-2.0996957882703153,0.0,-2.0803649627463625,-2.8009588996544403
61,1,-2.0996957882703144,2.220446049250313e-16,-1.7407171727234825,-2.8009588996544403
62,1,-2.0996957882703144,2.220446049250313e-16,-1.7736989480036407,-2.8009588996544403
63,1,-2.0996957882703144,2.220446049250313e-16,-1.9899459169092812,-2.8009588996544403
64,1,-2.0996957882703153,0.0,-1.9314012202509454,-2.8009588996544403
65,1,-2.0996957882703144,2.220446049250313e-16,-1.9761508384416417,-2.8009588996544403
66,1,-2.0996957882703153,2.220446049250313e-16,-1.9327637250675007,-2.8009588996544403
67,1,-2.0996957882703153,9.325873406851315e-15,-2.062272780218948,-2.8009588996544403
68,1,-2.099695788270315,2.220446049250313e-16,-1.9894680737534276,-2.8009588996544403
69,1,-2.099695788270315,8.43769498715119e-15,-2.0654705029684584,-2.8009588996544403
70,1,-2.0996957882703153,4.940143849552214e-10,-1.92209760431658,-2.8009588996544403
71,1,-2.099695788270315,2.220446049250313e-16,-2.098192690313355,-2.8009588996544403
72,1,-2.0996957882703153,2.2112223163617273e-10,-2.0907677625672196,-2.8009588996544403
73,1,-2.0996957882703144,1.3322676295501878e-14,-2.045914210269762,-2.8009588996544403
74,1,-2.0996957882703153,4.440892098500626e-16,-2.0880311765871107,-2.8009588996544403
75,1,-2.0996957882703153,2.220446049250313e-16,-2.0176944592350736,-2.8009588996544403
76,1,-2.099695788270315,9.325873406851315e-15,-2.0342916248460434,-2.8009588996544403
77,1,-2.0996957882703153,4.440892098500626e-16,-2.0969248956714823,-2.8009588996544403
78,1,-2.099695788270315,2.220446049250313e-16,-1.7647221566554783,-2.8009588996544403
79,1,-2.0996957882703153,2.2144948097491124e-09,-1.8252940634188672,-2.8009588996544403
80,1,-2.099695788270315,1.1102230246251565e-15,-2.0848275700487777,-2.8009588996544403
81,1,-2.0996957882703144,2.220446049250313e-16,-2.0955398710392394,-2.8009588996544403
82,1,-2.0996957882703153,0.0,-2.09776798426648,-2.8009588996544403
83,1,-2.099695788270315,2.220446049250313e-16,-1.9351123261180307,-2.8009588996544403
84,1,-2.0996957882703144,0.0,-1.9719842785743469,-2.8009588996544403
85,1,-2.0996957882703153,8.881784197001252e-16,-1.7631149278558613,-2.8009588996544403
86,1,-2.099695788270315,1.1102230246251565e-15,-2.084033041258818,-2.8009588996544403
87,1,-2.0996957882703158,1.928216697422158e-09,-1.757254014564054,-2.8009588996544403
88,1,-2.0996957882703144,5.551115123125783e-15,-2.0713812991568497,-2.8009588996544403
89,1,-2.0996957882703144,3.552713678800501e-15,-1.8301308537291199,-2.8009588996544403
90,1,-2.0996957882703144,1.7985612998927536e-14,-1.8220801683226797,-2.8009588996544403
91,1,-2.0996957882703144,2.220446049250313e-16,-1.7303253906626501,-2.8009588996544403
92,1,-2.0996957882703144,6.17284001691587e-14,-1.7864280974478177,-2.8009588996544403
93,1,-2.0996957882703153,3.13906678428566e-11,-1.7239221611689088,-2.8009588996544403
