Initialization,Ops,E,gnorm,E0,Exact
34,1,-2.0828664112612367,2.220446049250313e-16,-1.8961943118583422,-2.8009588996544403
35,1,-2.0828664112612407,6.661338147750939e-16,-1.3926745200978943,-2.8009588996544403
36,1,-2.0828664112612465,2.2776286634496046e-08,-1.4247617708655205,-2.8009588996544403
37,1,-2.0828664112612354,1.6465695917844414e-08,-1.62368079443539,-2.8009588996544403
38,1,-2.0828664112612363,0.0,-2.0659508403449385,-2.8009588996544403
39,1,-2.0828664112612363,4.440892098500626e-16,-1.486493330782408,-2.8009588996544403
40,1,-2.0828664112612367,2.886579864025407e-15,-2.0800575651284516,-2.8009588996544403
41,1,-2.0828664112612287,4.218847493575595e-15,-1.416815900136893,-2.8009588996544403
42,1,-2.082866411261236,7.72715225139109e-14,-2.0526550045687504,-2.8009588996544403
43,1,-2.08286641126124,2.340216909146875e-11,-1.533173869862565,-2.8009588996544403
44,1,-2.0828664112612363,0.0,-1.722531983908013,-2.8009588996544403
45,1,-2.0828664112612367,3.1086244689504383e-15,-1.5288610014646982,-2.8009588996544403
46,1,-2.0828664112612363,4.440892098500626e-16,-1.8393443424645983,-2.8009588996544403
47,1,-2.0828664112612363,0.0,-1.5575797861792777,-2.8009588996544403
48,1,-2.0828664112612363,2.5623947408348613e-13,-1.9470572544893443,-2.8009588996544403
49,1,-2.0828664112612363,4.440892098500626e-16,-1.8927728604963687,-2.8009588996544403
50,1,-2.0828664112612363,0.0,-2.03486210331998,-2.8009588996544403
51,1,-2.082866411261234,0.0,-1.3977307666337586,-2.8009588996544403
52,1,-2.0828664112612363,1.9984014443252818e-15,-2.08016729544447,-2.8009588996544403
53,1,-2.0828664112612363,6.661338147750939e-16,-1.9650323206604463,-2.8009588996544403
54,1,-2.0828664112612363,4.440892098500626e-16,-1.9181213356048001,-2.8009588996544403
55,1,-2.0828664112612403,3.4258151870858455e-11,-1.64506625982974,-2.8009588996544403
56,1,-2.082866411261236,4.440892098500626e-16,-1.8213719078365267,-2.8009588996544403
57,1,-2.0828664112612363,4.440892098500626e-16,-1.9194444728078062,-2.8009588996544403
58,1,-2.08286641126124,3.6791671931268866e-09,-1.490813263732281,-2.8009588996544403
59,1,-2.0828664112612345,4.3520742565306136e-14,-1.4139154100933173,-2.8009588996544403
60,1,-2.0828664112612363,0.0,-1.861832678970191,-2.8009588996544403
61,1,-2.0828664112612367,2.220446049250313e-16,-1.930789637206994,-2.8009588996544403
62,1,-2.0828664112612363,1.1102230246251565e-15,-1.874161873225275,-2.8009588996544403
63,1,-2.0828664112612367,0.0,-2.0715210782657247,-2.8009588996544403
64,1,-2.0828664112612367,2.220446049250313e-16,-1.946178247287508,-2.8009588996544403
65,1,-2.0828664112612367,2.220446049250313e-16,-2.0699117952882036,-2.8009588996544403
66,1,-2.082866411261236,9.614531393253856e-14,-1.4053653806406807,-2.8009588996544403
67,1,-2.0828664112612363,2.220446049250313e-16,-1.8769173910572863,-2.8009588996544403
68,1,-2.0828664112612363,6.661338147750939e-16,-1.3972259637782465,-2.8009588996544403
69,1,-2.0828664112612363,6.661338147750939e-16,-2.079488148086054,-2.8009588996544403
70,1,-2.082866411261241,4.802380715318577e-12,-1.6823121835859467,-2.8009588996544403
71,1,-2.082866411261244,2.1888268975089886e-11,-1.5111491543387732,-2.8009588996544403
72,1,-2.0828664112612363,0.0,-1.4853933714396232,-2.8009588996544403
73,1,-2.0828664112612367,7.233496468472822e-09,-1.4753984626561862,-2.8009588996544403
74,1,-2.0828664112612363,0.0,-1.6881203291134652,-2.8009588996544403
75,1,-2.0828664112612367,6.039613253960852e-14,-1.5650294441141535,-2.8009588996544403
76,1,-2.082866411261239,3.345435040102984e-11,-1.6389040611411336,-2.8009588996544403
77,1,-2.0828664112612367,8.881784197001252e-16,-1.9149214557269612,-2.8009588996544403
78,1,-2.0828664112612363,4.440892098500626e-16,-2.00258616823558,-2.8009588996544403
79,1,-2.082866411261234,0.0,-1.4437095926711812,-2.8009588996544403
80,1,-2.082866411261243,4.0647263332971306e-11,-1.6015570881992716,-2.8009588996544403
81,1,-2.082866411261243,9.380274335057948e-12,-1.6663520897518178,-2.8009588996544403
82,1,-2.0828664112612363,4.440892098500626e-16,-2.066855587306686,-2.8009588996544403
83,1,-2.0828664112612363,4.440892098500626e-16,-1.964766028300194,-2.8009588996544403
84,1,-2.0828664112612367,2.220446049250313e-15,-1.911886875896007,-2.8009588996544403
85,1,-2.082866411261242,4.618527782440651e-14,-1.437282762093152,-2.8009588996544403
86,1,-2.0828664112612363,2.220446049250313e-16,-1.900255267578032,-2.8009588996544403
87,1,-2.0828664112612447,0.0,-1.3916101549105817,-2.8009588996544403
88,1,-2.0828664112612367,2.220446049250313e-16,-2.0087140180287553,-2.8009588996544403
89,1,-2.0828664112612367,0.0,-1.9985027417938008,-2.8009588996544403
90,1,-2.0828664112612363,4.440892098500626e-16,-1.832683460079261,-2.8009588996544403
91,1,-2.0828664112612367,2.333688797762079e-13,-1.9507424787421233,-2.8009588996544403
92,1,-2.0828664112612367,1.0236256287043943e-13,-1.8125522207023697,-2.8009588996544403
93,1,-2.0828664112612367,0.0,-1.9043077746633075,-2.8009588996544403
94,1,-2.0828664112612367,1.1102230246251565e-15,-2.0722601430434233,-2.8009588996544403
95,1,-2.082866411261236,1.2101430968414206e-13,-1.7739903731846516,-2.8009588996544403
96,1,-2.0828664112612367,2.220446049250313e-16,-2.0807796278161845,-2.8009588996544403
97,1,-2.0828664112612363,7.054232753489487e-10,-1.8642587166466176,-2.8009588996544403
98,1,-2.0828664112612363,4.440892098500626e-16,-1.9147955831002923,-2.8009588996544403
99,1,-2.0828664112612327,6.661338147750939e-16,-1.4067328750222465,-2.8009588996544403
100,1,-2.0828664112612367,2.220446049250313e-16,-2.00386001011885,-2.8009588996544403
101,1,-2.0828664112612363,0.0,-2.049160065651459,-2.8009588996544403
102,1,-2.0828664112612447,8.215650382226158e-15,-1.5262459799660821,-2.8009588996544403
103,1,-2.0828664112612363,4.440892098500626e-16,-1.9279694265378973,-2.8009588996544403
104,1,-2.0828664112612363,0.0,-2.069213864970994,-2.8009588996544403
105,1,-2.0828664112612367,2.220446049250313e-16,-1.8970420265064358,-2.8009588996544403
106,1,-2.0828664112612367,7.518161648789601e-10,-1.6283490835641228,-2.8009588996544403
107,1,-2.0828664112612376,2.149391775674303e-12,-1.391617186384571,-2.8009588996544403
108,1,-2.0828664112612363,4.690856147959721e-09,-2.068989583566273,-2.8009588996544403
109,1,-2.0828664112612363,1.2664390425243255e-08,-1.9471126617525416,-2.8009588996544403
110,1,-2.0828664112612367,0.0,-1.8048398945968176,-2.8009588996544403
111,1,-2.0828664112612296,6.661338147750939e-16,-1.6016259103774653,-2.8009588996544403
112,1,-2.0828664112612363,0.0,-1.8741734071811178,-2.8009588996544403
113,1,-2.0828664112612327,6.661338147750939e-16,-1.724217207660953,-2.8009588996544403
114,1,-2.0828664112612363,4.440892098500626e-16,-1.8575746518159337,-2.8009588996544403
115,1,-2.0828664112612367,2.220446049250313e-16,-2.0598639812114863,-2.8009588996544403
116,1,-2.0828664112612367,9.325873406851315e-15,-2.050009477387521,-2.8009588996544403
