Initialization,Ops,E,gnorm,E0,Exact
52,1,-2.0525278323001572,0.0,-1.8303022706731489,-2.8009588996544403
53,1,-2.0525278323001572,6.661338147750939e-16,-2.0206664730951323,-2.8009588996544403
54,1,-2.0525278323001572,0.0,-1.9694327511948266,-2.8009588996544403
55,1,-2.0525278323001572,4.440892098500626e-16,-1.9602603231376856,-2.8009588996544403
56,1,-2.0525278323001572,2.220446049250313e-16,-1.7685876438100685,-2.8009588996544403
57,1,-2.0525278323001572,0.0,-1.9434997777076664,-2.8009588996544403
58,1,-2.0525278323001572,0.0,-1.9605058167596305,-2.8009588996544403
59,1,-2.0525278323001577,8.08260125495508e-11,-1.7974695227752744,-2.8009588996544403
60,1,-2.0525278323001577,0.0,-1.8206286644536283,-2.8009588996544403
61,1,-2.0525278323001577,2.220446049250313e-16,-2.049259698218126,-2.8009588996544403
62,1,-2.0525278323001572,0.0,-2.0524921315621443,-2.8009588996544403
63,1,-2.0525278323001572,0.0,-1.952404142588476,-2.8009588996544403
64,1,-2.0525278323001577,1.1546319456101628e-14,-2.001016304188654,-2.8009588996544403
65,1,-2.0525278323001572,4.440892098500626e-16,-1.9656165315974727,-2.8009588996544403
66,1,-2.0525278323001577,0.0,-2.000091289990512,-2.8009588996544403
67,1,-2.0525278323001577,2.220446049250313e-16,-1.8570360043928154,-2.8009588996544403
68,1,-2.0525278323001572,0.0,-1.9528821373750762,-2.8009588996544403
69,1,-2.0525278323001577,0.0,-1.851244974664864,-2.8009588996544403
70,1,-2.0525278323001572,4.440892098500626e-16,-2.0070939255530487,-2.8009588996544403
71,1,-2.0525278323001572,0.0,-1.7625155768195349,-2.8009588996544403
72,1,-2.0525278323001577,0.0,-1.793002602023498,-2.8009588996544403
73,1,-2.0525278323001572,0.0,-1.8837697359465118,-2.8009588996544403
74,1,-2.0525278323001572,2.220446049250313e-16,-1.8011217475040875,-2.8009588996544403
75,1,-2.0525278323001577,2.220446049250313e-16,-1.9218402790154216,-2.8009588996544403
76,1,-2.0525278323001572,5.995204332975845e-15,-1.900477257192425,-2.8009588996544403
77,1,-2.0525278323001572,0.0,-1.7696077403735266,-2.8009588996544403
78,1,-2.0525278323001577,2.220446049250313e-16,-2.0521389083737036,-2.8009588996544403
79,1,-2.0525278323001572,0.0,-2.047459557135867,-2.8009588996544403
80,1,-2.0525278323001572,2.220446049250313e-15,-1.8097406981511939,-2.8009588996544403
81,1,-2.0525278323001572,0.0,-1.7759289457132295,-2.8009588996544403
82,1,-2.0525278323001572,0.0,-1.7651006807475258,-2.8009588996544403
83,1,-2.0525278323001572,0.0,-1.9984755364141895,-2.8009588996544403
84,1,-2.0525278323001577,0.0,-1.9693773633712695,-2.8009588996544403
85,1,-2.0525278323001572,0.0,-2.0520351867974136,-2.8009588996544403
86,1,-2.0525278323001577,2.220446049250313e-16,-1.811763259886289,-2.8009588996544403
87,1,-2.0525278323001572,4.440892098500626e-16,-2.051550902174626,-2.8009588996544403
88,1,-2.0525278323001572,0.0,-1.8399077991314012,-2.8009588996544403
89,1,-2.0525278323001577,2.220446049250313e-16,-2.046394754691854,-2.8009588996544403
90,1,-2.0525278323001572,0.0,-2.0481119786693713,-2.8009588996544403
91,1,-2.0525278323001572,6.661338147750939e-16,-2.0470881502320997,-2.8009588996544403
92,1,-2.0525278323001572,4.440892098500626e-16,-2.0523503410205115,-2.8009588996544403
93,1,-2.0525278323001572,0.0,-2.045453429856372,-2.8009588996544403
94,1,-2.0525278323001572,0.0,-2.051734101324713,-2.8009588996544403
95,1,-2.0525278323001572,3.552713678800501e-15,-2.0268720479985562,-2.8009588996544403
96,1,-2.0525278323001572,0.0,-2.0420986803337353,-2.8009588996544403
97,1,-2.0525278323001572,2.220446049250313e-16,-2.0199004094045603,-2.8009588996544403
98,1,-2.0525278323001577,0.0,-1.9506990569108968,-2.8009588996544403
99,1,-2.0525278323001572,2.220446049250313e-16,-1.9596459849321524,-2.8009588996544403
100,1,-2.0525278323001577,2.220446049250313e-16,-1.8242290919290052,-2.8009588996544403
101,1,-2.0525278323001572,2.220446049250313e-16,-1.9781270201432353,-2.8009588996544403
102,1,-2.0525278323001572,0.0,-2.036529547895892,-2.8009588996544403
103,1,-2.0525278323001572,0.0,-1.7898850896731369,-2.8009588996544403
104,1,-2.0525278323001572,4.440892098500626e-16,-2.0524552383868917,-2.8009588996544403
105,1,-2.0525278323001572,2.220446049250313e-16,-1.9997074365620262,-2.8009588996544403
106,1,-2.052527832300157,8.881784197001252e-16,-2.0513957427982747,-2.8009588996544403
107,1,-2.0525278323001572,0.0,-1.911833779997608,-2.8009588996544403
108,1,-2.0525278323001577,2.220446049250313e-16,-1.8398489331388752,-2.8009588996544403
109,1,-2.0525278323001572,1.9984014443252818e-15,-2.0286632068114168,-2.8009588996544403
110,1,-2.0525278323001572,2.220446049250313e-16,-2.0524347836449284,-2.8009588996544403
111,1,-2.0525278323001572,2.220446049250313e-16,-2.0448041045386103,-2.8009588996544403
112,1,-2.0525278323001572,0.0,-1.7759170344163555,-2.8009588996544403
113,1,-2.0525278323001577,0.0,-2.050084618468072,-2.8009588996544403
114,1,-2.0525278323001572,4.440892098500626e-16,-1.7557940099520601,-2.8009588996544403
115,1,-2.0525278323001572,0.0,-2.048960239899408,-2.8009588996544403
116,1,-2.0525278323001572,4.440892098500626e-16,-2.0327351604637465,-2.8009588996544403
