Initialization,Ops,E,gnorm,E0,Exact
85,1,-2.0828664112612403,0.0,-2.08280980808257,-2.8009588996544403
86,1,-2.08286641126124,5.209854769816502e-11,-1.6896387433072046,-2.8009588996544403
87,1,-2.082866411261239,5.5289106626332796e-14,-2.0826093257331504,-2.8009588996544403
88,1,-2.0828664112612403,6.217248937900877e-15,-1.7461301331065007,-2.8009588996544403
89,1,-2.0828664112612394,6.261657858885883e-14,-2.074261557514491,-2.8009588996544403
90,1,-2.0828664112612403,2.220446049250313e-16,-2.076408020258331,-2.8009588996544403
91,1,-2.08286641126124,5.773159728050814e-15,-2.079864558933774,-2.8009588996544403
92,1,-2.0828664112612403,2.220446049250313e-16,-2.082154456850378,-2.8009588996544403
93,1,-2.0828664112612394,1.0236256287043943e-13,-2.078777757996828,-2.8009588996544403
94,1,-2.0828664112612394,9.992007221626409e-15,-2.082693537867813,-2.8009588996544403
95,1,-2.08286641126124,4.440892098500626e-16,-2.0495753103217043,-2.8009588996544403
96,1,-2.08286641126124,0.0,-2.076530840358286,-2.8009588996544403
97,1,-2.08286641126124,2.220446049250313e-16,-2.040425779240924,-2.8009588996544403
98,1,-2.0828664112612403,4.440892098500626e-16,-1.9400510231909234,-2.8009588996544403
99,1,-2.08286641126124,2.220446049250313e-16,-1.9539452796732997,-2.8009588996544403
100,1,-2.0828664112612403,2.220446049250313e-16,-1.7150947861614327,-2.8009588996544403
101,1,-2.0828664112612403,4.440892098500626e-16,-1.9818107674058956,-2.8009588996544403
102,1,-2.0828664112612403,3.36775052289795e-12,-2.061938300436872,-2.8009588996544403
103,1,-2.0828664112612403,0.0,-1.6430334790924985,-2.8009588996544403
104,1,-2.0828664112612403,2.220446049250313e-16,-2.0828362992202307,-2.8009588996544403
105,1,-2.0828664112612403,4.440892098500626e-16,-2.0128780861956095,-2.8009588996544403
106,1,-2.0828664112612394,1.6608936448392342e-13,-2.0825328051472836,-2.8009588996544403
107,1,-2.0828664112612403,4.440892098500626e-16,-1.8766930716589016,-2.8009588996544403
108,1,-2.08286641126124,4.0470471418529996e-10,-1.746015527777082,-2.8009588996544403
109,1,-2.0828664112612394,4.440892098500626e-16,-2.051895344066782,-2.8009588996544403
110,1,-2.08286641126124,0.0,-2.0823337498187486,-2.8009588996544403
111,1,-2.08286641126124,0.0,-2.0783436417170487,-2.8009588996544403
112,1,-2.0828664112612394,1.4210854715202004e-14,-1.6117355622266616,-2.8009588996544403
113,1,-2.08286641126124,4.440892098500626e-16,-2.081787892514139,-2.8009588996544403
114,1,-2.08286641126124,0.0,-1.5638052783623244,-2.8009588996544403
115,1,-2.08286641126124,0.0,-2.0810846196869184,-2.8009588996544403
116,1,-2.08286641126124,0.0,-2.0571232458979787,-2.8009588996544403
117,1,-2.0828664112612394,4.440892098500626e-16,-2.061591603717503,-2.8009588996544403
118,1,-2.08286641126124,0.0,-1.8894475403467832,-2.8009588996544403
119,1,-2.08286641126124,0.0,-1.8320334918033587,-2.8009588996544403
120,1,-2.0828664112612394,4.218847493575595e-15,-2.077796900033176,-2.8009588996544403
121,1,-2.08286641126124,2.220446049250313e-16,-2.062319455047304,-2.8009588996544403
122,1,-2.0828664112612394,1.021405182655144e-14,-1.6324862051368156,-2.8009588996544403
123,1,-2.0828664112612403,4.440892098500626e-16,-1.9828587205349064,-2.8009588996544403
124,1,-2.08286641126124,2.220446049250313e-16,-2.0381257043415157,-2.8009588996544403
125,1,-2.08286641126124,0.0,-1.8257533846577274,-2.8009588996544403
126,1,-2.0828664112612403,2.220446049250313e-16,-1.959886274543702,-2.8009588996544403
0,2,-2.166068132526257,1.0261758444987488e-13,-2.0828664112612403,-2.8009588996544403
1,2,-2.1660681325262576,5.999728576681022e-10,-2.1660681325262576,-2.8009588996544403
2,2,-2.166068132526257,1.8648068176322294e-12,-1.8900040685899984,-2.8009588996544403
3,2,-2.1660681325262567,6.926825528112953e-12,-2.13268728376989,-2.8009588996544403
4,2,-2.166068132526257,3.307352169917882e-09,-1.6953645824672603,-2.8009588996544403
5,2,-2.1660681325262567,1.3833337732333282e-11,-1.7252380630326882,-2.8009588996544403
6,2,-2.1660681325262567,2.631228568361621e-14,-1.8738053228692124,-2.8009588996544403
7,2,-2.1660681325262563,2.0611680327229494e-12,-2.0581804946893816,-2.8009588996544403
8,2,-2.1660681325262567,1.9605205421792397e-12,-1.660833921232353,-2.8009588996544403
9,2,-2.1660681325262567,5.813542167471806e-13,-1.7729470075132348,-2.8009588996544403
10,2,-2.1660681325262567,1.3989250668031913e-14,-1.647037301903326,-2.8009588996544403
11,2,-2.1660681325262567,3.611192369062415e-10,-2.145504931580676,-2.8009588996544403
12,2,-2.166068132526257,4.0900524099219365e-11,-1.8147327626580714,-2.8009588996544403
13,2,-2.1660681325262576,3.038150866454194e-12,-2.0511691921570496,-2.8009588996544403
14,2,-2.1660681325262567,6.754135550515241e-15,-1.759268486343949,-2.8009588996544403
15,2,-2.166068132526257,8.96208582868549e-14,-1.7882831793500813,-2.8009588996544403
16,2,-2.1660681325262563,1.0151505471019823e-10,-2.1349988042984194,-2.8009588996544403
17,2,-2.166068132526257,1.2027951551598417e-12,-1.8319068308488322,-2.8009588996544403
18,2,-2.1660681325262567,7.477993676972205e-11,-1.8301446917407,-2.8009588996544403
19,2,-2.166068132526257,4.0195727815973475e-10,-1.7220509140109275,-2.8009588996544403
20,2,-2.1660681325262567,2.9668499671044857e-13,-1.6592391907967319,-2.8009588996544403
21,2,-2.1660681325262567,1.827253069869615e-14,-1.942502414471396,-2.8009588996544403
22,2,-2.1660681325262567,2.286089127109703e-15,-1.7617734470962712,-2.8009588996544403
23,2,-2.166068132526256,1.3276303726464903e-08,-2.0996007855036574,-2.8009588996544403
24,2,-2.166068132526257,7.412494463341281e-13,-1.5813417105714174,-2.8009588996544403
25,2,-2.1660681325262567,9.155133597044475e-16,-1.8194425044883864,-2.8009588996544403
26,2,-2.1660681325262567,1.4208715778603795e-10,-1.791903085822705,-2.8009588996544403
27,2,-2.1660681325262567,1.75099499233275e-10,-1.7475500842187683,-2.8009588996544403
28,2,-2.1660681325262567,7.108895957933346e-16,-1.6070546176719875,-2.8009588996544403
29,2,-2.1660681325262563,1.0266733180588921e-08,-2.044569933111476,-2.8009588996544403
30,2,-2.1660681325262567,5.418572405870219e-10,-1.54631064387898,-2.8009588996544403
31,2,-2.1660681325262567,1.0087639719574476e-10,-2.007348575989612,-2.8009588996544403
32,2,-2.1660681325262567,1.7932643848622866e-11,-1.8363979503208996,-2.8009588996544403
33,2,-2.1660681325262567,5.97655073130446e-11,-2.0607850765681577,-2.8009588996544403
34,2,-2.166068132526257,4.719000899086435e-10,-1.9569049073354983,-2.8009588996544403
35,2,-2.1660681325262567,1.5069643743258763e-08,-2.0908335291831137,-2.8009588996544403
36,2,-2.166068132526257,2.654959411269884e-12,-2.1650094776751896,-2.8009588996544403
37,2,-2.1660681325262567,2.405652003583538e-12,-1.9423512219055845,-2.8009588996544403
38,2,-2.1660681325262567,1.2872037343873241e-11,-1.8472142954451982,-2.8009588996544403
39,2,-2.166068132526257,4.357671583482505e-10,-1.647802967647999,-2.8009588996544403
40,2,-2.1660681325262567,2.2010444299161014e-12,-1.8224482321230184,-2.8009588996544403
41,2,-2.1660681325262567,1.3250204030527914e-12,-2.0189493273409327,-2.8009588996544403
42,2,-2.1660681325262576,7.738360964354219e-11,-1.9340655292935922,-2.8009588996544403
43,2,-2.1660681325262567,1.4899097851829163e-13,-1.6453719372325084,-2.8009588996544403
44,2,-2.166068132526257,4.883828336883483e-12,-1.8861440246436842,-2.8009588996544403
45,2,-2.1660681325262576,9.200893772056547e-09,-1.8874668359332496,-2.8009588996544403
46,2,-2.1660681325262567,1.6835796622115608e-11,-2.1411145294139162,-2.8009588996544403
47,2,-2.1660681325262567,1.527616890478432e-08,-2.0969382513659465,-2.8009588996544403
48,2,-2.166068132526257,3.9096405684289026e-14,-1.717488838830663,-2.8009588996544403
49,2,-2.166068132526257,3.6693534592682214e-10,-2.163232204506404,-2.8009588996544403
50,2,-2.166068132526256,2.691944996481812e-11,-1.9773971459239525,-2.8009588996544403
51,2,-2.166068132526257,6.81197645910287e-13,-1.9004804839153453,-2.8009588996544403
52,2,-2.166068132526257,2.122084258605741e-10,-2.05183975472121,-2.8009588996544403
53,2,-2.166068132526257,1.2637813071905118e-10,-1.8275764434954667,-2.8009588996544403
54,2,-2.1660681325262563,2.353433549600856e-12,-1.7368735772582538,-2.8009588996544403
55,2,-2.1660681325262567,2.9721665696314067e-13,-2.13847156105066,-2.8009588996544403
