Operators,Random E,Random E0,Recycled E,Recycled E0,Exact
1,-2.08286641124677,-1.9384954004325194,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-2.01615798773332,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-2.006788429411108,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-1.9371127559664412,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-1.5808155350584299,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.075909534910322,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-1.6449015438078296,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.081709540573495,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6623190813063853,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.076179729544668,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.7552588911501559,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0805351087537773,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-2.0821439790549476,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-1.7494636479711756,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.961813617939036,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6846036704032858,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-2.0757232278530324,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0612895956531068,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-1.8609115916378929,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467705,-2.0825469319224674,-2.08286641124677,-1.9706022460321675,-2.8009588996544585
