X0 X1 X8 Y9
X0 X1 X2 Y9
X0 X1 Y3 X8
X0 X1 X2 Y3
X0 Y1 X4 X5
X0 X1 X6 Y7
X6 X7 Y8 X9
X4 Y5 X8 X9
Z0 X1 Y3 Z9
X0 X3 Y8 X9
Y0 X2 Z6
X1 Y2 X8 X9
Z2 Y3 X9
X3 X4 Y5 X8
Y3 X6 X7 X8
X2 X4 X5 Y9
X2 X6 X7 Y9
Y2 Z3 Z6 X8
Y2 X3 X6 X7
X2 X3 X4 Y5
X4 Y5 X6 X7
Y0 Y2 X3 Y9
X1 Y2 Y3 Y8
Y2 Y3 Y8 X9
X0 Y3 X6 X7
X0 X3 X4 Y5
Y1 Y2 X4 Y5
X1 Y2 X6 X7
Z0 Y1 Z6 X9
X0 Z4 Y8
Y1 X4 X5 X8
Y0 Y3 X4 Y5
Y3 X4 Y5 Y8
X0 X4 Y5 X9
X2 X6 Y7 X9
Y0 X4 Y5 Y9
X1 X6 X7 Y8
Y1 X6 Y7 Y8
Y1 Y2 X6 Y7
Y0 X6 X7 X9
Y0 Y1 X4 Y5
X0 Y1 X4 X5
Y2 X4 X5 X9
Y0 Y1 X4 Y5
X0 X6 Y7 X9
Y0 X6 Y7 Y9
Y0 Y3 X6 Y7
Y0 Y1 Y2 X9
X0 Y1 X6 X7
X0 X1 Y2 X3
X1 Y2 X4 X5
X4 Y5 X8 X9
Z0 X1 Z8 Y9
X0 X2 X3 Y9
Y0 X8
X4 Y5 X8 X9
X2 Y3 X8 X9
Y0 X6 Y7 Y9
X4 X5 Y8 X9
X3 Z4 Y9
Y0 Y1 X3 Y8
Y2 X8 Z9
X0 Y1 X8 X9
X0 X1 Y8 X9
Y0 Y3 X8 Y9
Y0 Y1 X3 Y8
Y2 X3 X8 X9
X6 X7 X8 Y9
X1 X4 X5 Y8
X4 Y5 X8 X9
Y2 X3 Y8 Y9
X2 Y3 Y8 Y9
X0 X3 X6 Y7
X1 Y2 X6 X7
Y1 Y2 X6 Y7
