Operators,Random E,Random E0,Recycled E,Recycled E0,Exact
1,-2.0828664112467674,-1.9384954004325194,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.01615798773332,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467656,-2.006788429411108,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.9371127559664412,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467665,-1.5808155350584299,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-2.075909534910322,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-1.6449015438078296,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.081709540573495,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-1.6623190813063853,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.076179729544668,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-1.7552588911501559,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0805351087537773,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0821439790549476,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467647,-1.7494636479711756,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.961813617939036,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6846036704032858,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-2.0757232278530324,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0612895956531068,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-1.8609115916378929,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246767,-2.0825469319224674,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.9100475003178299,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0799028400072457,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.077696979942969,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467665,-1.9596526833841499,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-1.5866643541842764,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6652992515214786,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0576658704301587,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.011940381149864,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.7932913152098189,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-1.6710495264005654,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.8660311186628273,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0634798021231426,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6754602180756026,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0715749343178853,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.079046596806331,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-1.9951046360576745,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-1.793741445976125,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.5997864218727675,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467665,-2.0306246862209503,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-1.9398306170156918,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-2.0205351904865982,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0711244727134015,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-2.0348291081053786,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0828480510218066,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6973313889692565,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-1.562836095895971,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.7438874210499171,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0828360604936007,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467643,-2.076968797415691,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246763,-2.059607114508891,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.9739201168064242,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-1.839675528778096,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467674,-1.7080388245854095,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6865638565850583,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-2.014640922993168,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.082414067079427,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.5667300214606419,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.0822078574821803,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0385405075440355,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
