Operators,Error
0,0.830356653622294
1,0.718092488407019
2,0.634890767121389
3,0.521893532508075
4,0.411866786786913
5,0.26261343382845
6,0.143013915140309
7,0.125608385064926
8,0.098094039418507
9,0.059679619512711
10,0.047804549667732
11,0.047441716829579
12,0.034195193025494
13,0.0338202219826
14,0.031726561986909
15,0.030445985663691
16,0.020305470164845
17,0.017903856561454
18,0.013247447085638
19,0.011825348517407
20,0.011596052884767
21,0.008593059633688
22,0.007822305660857
23,0.00744088096144
24,0.00711733555252
25,0.006097847053052
26,0.005945338696477
27,0.00563924719887
28,0.004771659781211
29,0.004349232709447
30,0.00418704634282
31,0.003851672853559
32,0.003003669257851
33,0.002313484918127
34,0.002299504444791
35,0.001696918242937
36,0.001453686025801
37,0.001318168158007
38,0.001205495225932
39,0.001147601256506
40,0.001064663593461
41,0.000983730528903
42,0.000937470092501
43,0.00082112912198
44,0.000637168490364
45,0.000514657302625
46,0.00030108013676
47,0.000288605312909
48,0.00028817100062
49,0.000287325709336
50,0.000280223086802
51,0.000277740597534
52,0.000277714401112
53,0.00027312299226
54,0.000272958886613
55,0.000272952630209
56,0.0002721397414
57,0.000272122182099
58,0.000270967828205
59,0.000270727565028
60,0.000270473436244
61,0.0002685349404
62,0.000267453438215
63,0.000255525568983
64,0.000252508547603
65,0.000251151479702
66,0.000241094628518
67,0.000207638681623
68,6.12907295277E-05
69,5.21950164063E-05
70,4.30447186406E-05
71,3.81309046036E-05
72,3.08726717009E-05
73,2.48559008047E-05
74,2.2261880793E-05
75,1.96409529063E-05
76,1.89452871919E-05
77,1.82912732707E-05
78,1.67727103442E-05
79,1.63263789514E-05
80,1.56790735439E-05
81,1.52977609416E-05
82,1.37181106155E-05
83,1.29596666913E-05
84,1.27435150108E-05
85,1.22374268208E-05
86,1.20960392613E-05
87,8.8450707185E-06
88,8.7855900062E-06
89,8.6741611813E-06
90,8.1474926956E-06
91,4.659098978E-07
92,3.65667E-11
93,6.541E-13
94,6.533E-13
95,6.533E-13
96,6.533E-13
97,6.533E-13
98,6.533E-13
99,6.533E-13
100,6.533E-13
