85 -0.6642571541589991 02->35 (Type 2)
84 0.11082599471480689 12->34 (Type 2)
83 -0.617300740635392 11->44
82 -0.3021629350088132 22->33
81 -0.4074564131040424 01->45 (Type 2)
80 -0.29774803983492726 00->55
79 -1.9620813069375402 02->35 (Type 1)
78 -0.3919378073310485 01->45 (Type 1)
77 -1.9119582812746998 12->34 (Type 1)
76 0.8450379139061172 02->35 (Type 2)
75 0.24388262786309958 22->55
74 -0.289986614139965 00->33
73 0.3419857474458006 12->45 (Type 2)
72 -0.4264762634735449 01->34 (Type 2)
71 -2.479400714297686 00->35
70 -1.0275419445667597 02->55
69 0.695883863032148 12->45 (Type 2)
68 -1.4007023469820492 01->45 (Type 2)
67 -0.8591575484124154 00->55
66 0.004331224036903696 0->4
65 0.000993028832611411 1->5
64 0.37984235096317065 01->34 (Type 2)
63 0.9347714463907788 22->33
62 2.0011709089974237 22->35
61 1.645723385404183 01->45 (Type 2)
60 0.43905169921489723 01->34 (Type 1)
59 0.18379675239735221 11->44
58 0.9666704304102247 12->45 (Type 2)
57 -1.1746734057690325 02->33
56 0.06675580305291856 00->33
55 0.00585086671096481 0->4
54 -0.02738220257509462 02->55
53 -0.006075688649932007 1->5
52 -0.00012181987385038941 1->3
51 -0.007451139131090297 2->4
50 0.5406608376303307 22->33
49 1.0127745476424193 00->55
48 0.7019639613619448 12->45 (Type 1)
47 -0.8544833127785095 22->55
46 -1.1929936188596746 22->35
45 0.8306242991236973 12->34 (Type 1)
44 -1.01321610115748 11->44
43 1.6062015978153263 01->34 (Type 2)
42 0.0024105552592040003 1->3
41 -0.0037182659367261837 2->4
40 0.8840709762649732 22->33
39 1.1450012854381664 11->44
38 -0.017942138549670097 1->5
37 0.20935006803365955 22->35
36 -0.2286355253201563 02->33
35 0.7069188674521925 12->45 (Type 2)
34 -0.22222785350197585 11->33
33 0.01836699775685836 01->34 (Type 2)
32 -0.1524789133804969 22->44
31 0.4827787281193315 02->44
30 0.46783004947833884 11->35
29 -0.18148905323048084 11->55
28 -0.43640610474920055 00->44
27 0.01697172762156716 1->3
26 0.4459944996079321 01->34 (Type 1)
25 -0.1555955916704604 01->45 (Type 2)
24 0.14282296311437523 12->45 (Type 1)
23 -0.10374082532087883 2->4
22 -0.1618371335196679 22->33
21 0.40105357167000055 00->35
20 0.13246789465159586 02->55
19 -0.09227365146320184 0->4
18 0.03480667628608478 1->5
17 0.19942489544296987 02->33
16 0.09219880260689135 22->55
15 0.061905380079967987 12->45 (Type 1)
14 -0.08974646711395397 01->34 (Type 1)
13 0.09056534946014934 1->3
12 -0.04478134503361938 02->44
11 0.032279236652907904 12->34 (Type 2)
10 -0.06418576003266906 12->45 (Type 2)
9 0.13716462777765034 01->45 (Type 2)
8 0.021113685605435983 00->35
7 -0.051329765738378635 11->35
6 0.045919048112090965 02->35 (Type 2)
5 -0.21913654866065674 11->55
4 0.05144799169182774 11->44
3 0.0712175540718443 1->5
2 0.03343822912757954 22->55
1 0.1044911804642969 02->35 (Type 1)
0 -0.03295874589970325 02->55
